"Experiment: LG98_Quake","Analysis: Analysis 1","User: lab user","Plate: Plate 0001","Plate Type: 384 Well","Plate Order: Row","Export Date: 12/7/2018","Export Time: 9:54:30 AM"
"Well ID","Well Type","%GFP+","Count of All Events","Count of cells","singlet as % of cells"
"F23","Sample","3.99689561505627","3825","2900","88.8620689655172"
"G02","Sample","2.1375133594585","4219","3145","89.2527821939587"
"G03","Sample","3.19724545007378","3228","2272","89.4806338028169"
"G04","Sample","4.77031802120141","3534","2579","87.7859635517642"
"G05","Sample","7.14285714285714","3798","2812","88.6201991465149"
"G06","Sample","8.65342163355408","3340","2550","88.8235294117647"
"G07","Sample","8.72235872235872","3656","2789","87.5582646109717"
"G08","Sample","10.4895104895105","3833","2957","87.0476834629692"
"G09","Sample","7.41295394983152","3903","3067","87.0883599608738"
"G10","Sample","8.76330876330876","3666","2803","87.12094184802"
"G11","Sample","9.90141448778397","3523","2615","89.2160611854684"
"G14","Sample","2.81747652102899","3826","2781","88.061848256023"
"G15","Sample","2.74579273693534","3427","2534","89.1081294396212"
"G16","Sample","3.21931589537223","3162","2261","87.9256965944272"
"G17","Sample","4.44743935309973","3332","2518","88.4034948371724"
"G18","Sample","4.56255879586077","3281","2419","87.8875568416701"
"G19","Sample","3.98924249215598","3368","2563","87.0464299648849"
"G20","Sample","3.43045112781955","3351","2448","86.9281045751634"
"G21","Sample","3.47490347490348","3480","2606","89.447429009977"
"G22","Sample","4.06544372830937","3244","2334","86.4181662382177"
"G23","Sample","4.627539503386","2839","1993","88.9111891620672"
"H02","Sample","0.0356125356125356","4194","3113","90.2023771281722"
"H03","Sample","0.67476383265857","3282","2489","89.3129770992366"
"H04","Sample","1.73728813559322","3505","2662","88.6551465063862"
"H05","Sample","4.94327390599676","3595","2785","88.6175942549372"
"H06","Sample","7.49279538904899","3639","2750","88.3272727272727"
"H07","Sample","8.69915424889247","3670","2813","88.2687522218272"
"H08","Sample","8.62884160756501","3726","2854","88.9278206026629"
"H09","Sample","9.93676603432701","3415","2530","87.5098814229249"
"H10","Sample","7.90496760259179","3474","2635","87.8557874762808"
"H11","Sample","11.0236220472441","4050","3132","89.2081736909323"
"H14","Sample","0.49808429118774","4142","2936","88.8964577656676"
"H15","Sample","1.15197164377492","3440","2542","88.7883556254917"
"H16","Sample","2.20338983050847","3532","2651","89.0230101848359"
"H17","Sample","3.14606741573034","3401","2539","87.6329263489563"
"H18","Sample","3.54223433242507","3433","2467","89.2582083502229"
"H19","Sample","3.48343245539507","3619","2691","87.4767744332962"
"H20","Sample","3.93518518518519","3346","2420","89.2561983471074"
"H21","Sample","4.49299258037922","3615","2719","89.2239794041927"
"H22","Sample","4.35532557136697","3629","2645","87.6748582230624"
"H23","Sample","4.33305012744265","3656","2655","88.6629001883239"
"I02","Sample","0.0372162262746558","3898","2984","90.0469168900804"
"I03","Sample","0.852483320978503","4011","2998","89.9933288859239"
"I04","Sample","3.14225053078556","3547","2605","90.4030710172745"
"I05","Sample","6.24031007751938","3853","2892","89.2116182572614"
"I06","Sample","7.13330361123495","3364","2576","87.0729813664596"
"I07","Sample","9.71283783783784","3545","2700","87.7037037037037"
"I08","Sample","9.98102466793169","3845","2924","90.1162790697674"
"I09","Sample","9.41794664510913","3601","2815","87.886323268206"
"I10","Sample","9.13081650570676","3476","2596","87.7503852080123"
"I11","Sample","8.34141610087294","3221","2367","87.1144909167723"
"I14","Sample","0.301724137931034","3735","2641","87.8455130632336"
"I15","Sample","1.24223602484472","3408","2408","86.9186046511628"
"I16","Sample","2.19017094017094","3096","2100","89.1428571428571"
"I17","Sample","2.79131590607","3385","2542","88.7883556254917"
"I18","Sample","4.62650602409639","3322","2356","88.0730050933786"
"I19","Sample","3.00713557594292","3139","2242","87.5111507582516"
"I20","Sample","3.67118914604948","3771","2820","88.8652482269503"
"I21","Sample","3.33629893238434","3463","2506","89.7047086991221"
"I22","Sample","4.0590405904059","3287","2470","87.7732793522267"
"I23","Sample","4.40487347703843","3294","2387","89.4009216589862"
"J02","Sample","1.80404354587869","4621","3542","90.7679277244495"
"J03","Sample","1.43266475644699","3318","2268","92.3280423280423"
"J04","Sample","2.52259036144578","3864","2935","90.4940374787053"
"J05","Sample","5.52677029360967","3562","2581","89.7326617590081"
"J06","Sample","6.64206642066421","3595","2714","89.867354458364"
"J07","Sample","9.317738791423","3872","2923","87.7523092712966"
"J08","Sample","9.16894264533749","3686","2889","88.7158186223607"
"J09","Sample","10.625","3375","2574","87.024087024087"
"J10","Sample","10.1180438448567","3473","2675","88.6728971962617"
"J11","Sample","10.2290076335878","3835","2931","89.3892869327874"
"J14","Sample","1.58132530120482","4139","2976","89.247311827957"
"J15","Sample","2.80578693555458","3471","2549","89.4860729697921"
"J16","Sample","2.52136752136752","3650","2647","88.4019644880997"
"J17","Sample","2.97332750327941","3494","2628","87.0243531202435"
"J18","Sample","3.19488817891374","3090","2190","85.7534246575342"
"J19","Sample","3.42831700801425","3475","2554","87.9404855129209"
"J20","Sample","4.05836753305974","3397","2467","88.8933927847588"
"J21","Sample","4.12371134020619","3602","2628","88.5844748858447"
"J22","Sample","4.18133802816901","3394","2499","90.9163665466186"
"J23","Sample","4.90238611713666","3568","2585","89.1682785299807"
"K02","Sample","1.6496465043205","3724","2828","90.02828854314"
"K03","Sample","2.2970297029703","3742","2804","90.0499286733238"
"K04","Sample","2.96540362438221","3598","2736","88.7426900584795"
"K05","Sample","5.74800152264941","3894","2944","89.2323369565217"
"K06","Sample","7.1236559139785","3453","2531","88.1864875543263"
"K07","Sample","8.76288659793814","3538","2601","89.5040369088812"
"K08","Sample","9.84081041968162","4081","3145","87.8855325914149"
"K09","Sample","9.94130594277329","4001","3080","88.5064935064935"
"K10","Sample","10.7478391582112","3893","2964","89.7773279352227"
"K11","Sample","10.4300091491308","3316","2462","88.7896019496344"
"K14","Sample","2.1111589831969","3505","2616","88.7232415902141"
"K15","Sample","2.84605433376455","3505","2598","89.2609699769053"
"K16","Sample","3.77358490566038","3324","2382","91.2258606213266"
"K17","Sample","2.97590930562116","3185","2381","88.9122217555649"
"K18","Sample","4.21155729676787","3353","2315","88.207343412527"
"K19","Sample","2.76801405975395","3478","2602","87.4711760184473"
"K20","Sample","4.51255853554704","3545","2616","89.7935779816514"
"K21","Sample","3.98824517212427","3672","2708","87.9615952732644"
"K22","Sample","2.8428093645485","3563","2684","89.1207153502235"
"K23","Sample","5","2864","2164","88.724584103512"
