"Experiment: LG128_DENV2_doublemut","Analysis: Analysis 1","User: lab user","Plate: Plate 0003","Plate Type: 384 Well","Plate Order: Row","Export Date: 3/13/2019","Export Time: 12:04:29 PM"
"Well ID","Well Type","%GFP+","Count of All Events","Count of cells","singlet as % of cells"
"B02","Sample","3.21622958931222","3878","2074","97.4445515911282"
"B03","Sample","4.11867364746946","4860","2955","96.9543147208122"
"B04","Sample","5.33135875601629","4768","2792","96.7406876790831"
"B05","Sample","6.21632822213013","4492","2497","96.6359631557869"
"B06","Sample","7.27779498296686","5312","3290","98.1458966565349"
"B07","Sample","6.04551920341394","4866","2901","96.9320923819373"
"B08","Sample","7.62518968133536","4670","2728","96.6275659824047"
"B09","Sample","7.60709010339734","4654","2805","96.541889483066"
"B10","Sample","6.09756097560976","5520","3441","97.7041557686719"
"B11","Sample","7.23568668774148","4685","2935","97.0017035775128"
"B14","Sample","9.39206406989443","5090","2852","96.3183730715287"
"B15","Sample","9.09839440098806","4160","2503","97.0435477427088"
"B16","Sample","8.94126449682005","4379","2756","96.988388969521"
"B17","Sample","8.25840825840826","4804","3104","96.7461340206186"
"B18","Sample","8.76288659793814","4125","2627","96.0030452988199"
"B19","Sample","9.00548159749413","4329","2668","95.7271364317841"
"B20","Sample","9.28270042194093","5582","3682","96.5507876154264"
"B21","Sample","9.07680372381691","4349","2702","95.4108068097705"
"B22","Sample","8.79522071025556","4761","3118","96.6324567030147"
"B23","Sample","8.81226053639847","4468","2734","95.4645208485735"
"C02","Sample","3.67990654205607","3101","1755","97.5498575498575"
"C03","Sample","5.23123578468537","4370","2713","97.2355326207151"
"C04","Sample","4.94442315063243","4534","2689","97.0249163257717"
"C05","Sample","6.55498907501821","4809","2861","95.9804264243271"
"C06","Sample","6.74435028248588","4848","2941","96.2937776266576"
"C07","Sample","4.94324423288173","4666","2824","96.7067988668555"
"C08","Sample","6.93293142426526","4457","2729","97.2517405643093"
"C09","Sample","6.74157303370786","4595","2761","96.704092720029"
"C10","Sample","7.33173076923077","4370","2594","96.2220508866615"
"C11","Sample","6.99466508595139","5360","3494","96.5655409273039"
"C14","Sample","10.639336261591","4007","2133","96.0618846694796"
"C15","Sample","9.43119266055046","4628","2821","96.5969514356611"
"C16","Sample","9.49742777997626","4093","2609","96.8570333461096"
"C17","Sample","8.2892998678996","5002","3089","98.0252508902557"
"C18","Sample","7.89871504157218","4366","2736","96.7105263157895"
"C19","Sample","8.61297539149888","4490","2763","97.0684039087948"
"C20","Sample","8.82578664620107","4359","2717","95.9146117040854"
"C21","Sample","9.44772490448072","4629","2991","96.2554329655634"
"C22","Sample","8.756038647343","5127","3394","97.5839717147908"
"C23","Sample","8.00787659993436","4855","3133","97.2550271305458"
"D02","Sample","1.85694635488308","5180","2964","98.110661268556"
"D03","Sample","3.45083487940631","4531","2788","96.6642754662841"
"D04","Sample","4.46577629382304","4434","2488","96.3022508038585"
"D05","Sample","4.27764326069411","4251","2560","96.796875"
"D06","Sample","4.89620054837446","4217","2634","96.9248291571754"
"D07","Sample","4.46521287642783","4796","2986","96.7515070328198"
"D08","Sample","4.99657768651608","4877","2997","97.4974974974975"
"D09","Sample","4.81208289427468","4669","2939","96.8696835658387"
"D10","Sample","4.59565372283577","4633","2895","96.9602763385147"
"D11","Sample","4.75552578700603","4750","3061","97.5498203201568"
"D14","Sample","1.93704600484262","4584","2582","95.9721146398141"
"D15","Sample","2.81093569503273","4231","2674","97.1204188481675"
"D16","Sample","4.3141592920354","4394","2775","97.7297297297297"
"D17","Sample","6.04288499025341","4127","2639","97.1959075407351"
"D18","Sample","8.51590106007067","4534","2912","97.1840659340659"
"D19","Sample","6.86168291802095","4565","2842","97.4313863476425"
"D20","Sample","7.79591836734694","3820","2547","96.1915979583824"
"D21","Sample","8.12182741116751","4162","2462","96.0194963444354"
"D22","Sample","8.04527378403181","4900","3353","97.4947807933194"
"D23","Sample","7.38177623990773","4183","2688","96.7633928571429"
"E02","Sample","2.02543570419218","3853","2197","96.6317705962676"
"E03","Sample","3.19563522992985","4021","2635","97.381404174573"
"E04","Sample","4.09731113956466","4169","2422","96.7382328654005"
"E05","Sample","3.95182536695521","4706","2729","97.3616709417369"
"E06","Sample","5.45132743362832","4760","2904","97.2796143250689"
"E07","Sample","4.96832277425809","4843","3095","96.8982229402262"
"E08","Sample","5.08160237388724","4621","2773","97.2232239451857"
"E09","Sample","4.98839907192575","4512","2672","96.7814371257485"
"E10","Sample","6.07671857197114","4530","2729","96.4822279223159"
"E11","Sample","4.36708860759494","4980","3273","96.5475099297281"
"E14","Sample","2.14424951267057","3938","2159","95.0440018527096"
"E15","Sample","3.06859205776173","4549","2862","96.785464709993"
"E16","Sample","4.48929159802306","3886","2520","96.3492063492063"
"E17","Sample","6.8","3994","2546","98.1932443047918"
"E18","Sample","8.49024306744266","4631","3001","97.3342219260247"
"E19","Sample","8.25688073394495","4390","2682","97.5391498881432"
"E20","Sample","7.37520128824477","4492","3178","97.7029578351164"
"E21","Sample","8.30820770519263","4644","3071","97.199609247802"
"E22","Sample","8.82244370616464","4311","2807","96.5087281795511"
"E23","Sample","9.16473317865429","4045","2698","95.8487768717569"
"F02","Sample","4.08576051779935","4462","2595","95.2601156069364"
"F03","Sample","4.12967966036279","4441","2675","96.8598130841121"
"F04","Sample","4.80268056589725","4531","2758","97.389412617839"
"F05","Sample","4.72471690745802","4320","2645","96.8241965973535"
"F06","Sample","5.13401283503209","4425","2738","96.7494521548576"
"F07","Sample","5.20718738540521","4532","2833","96.2583833392164"
"F08","Sample","5.43605788032851","4280","2648","96.5634441087613"
"F09","Sample","6.00903091351164","4754","2988","96.3520749665328"
"F10","Sample","5.6562726613488","4682","2870","96.0975609756098"
"F11","Sample","5.5458768873403","5533","3543","97.2057578323455"
"F14","Sample","0.708502024291498","3861","2075","95.2289156626506"
"F15","Sample","0.506912442396313","3865","2265","95.8057395143488"
"F16","Sample","1.38449367088608","4193","2612","96.7840735068913"
"F17","Sample","2.98850574712644","4799","3106","98.0360592401803"
"F18","Sample","4.7087232115907","5117","3373","98.2211680996146"
"F19","Sample","6.49466192170819","5180","3434","98.1945253348864"
"F20","Sample","5.54988083077971","4853","3032","96.8667546174142"
"F21","Sample","6.64362519201229","4136","2683","97.0555348490496"
"F22","Sample","7.1295952469365","4329","2794","96.3851109520401"
"F23","Sample","6.6213921901528","3897","2454","96.0065199674002"
"G02","Sample","3.1236808780076","4141","2454","96.5362673186634"
"G03","Sample","4.34610825760569","4368","2591","97.6842917792358"
"G04","Sample","5.66783831282953","4187","2334","97.5149957155099"
"G05","Sample","7.04052394596807","4363","2516","97.0985691573927"
"G06","Sample","5.63924295094631","4314","2668","97.0389805097451"
"G07","Sample","5.74754456165878","4567","2852","96.3884992987377"
"G08","Sample","5.79828501429155","4241","2526","96.9517022961203"
"G09","Sample","5.74806359559723","4245","2535","96.7652859960552"
"G10","Sample","5.59071729957806","4675","2918","97.464016449623"
"G11","Sample","5.64102564102564","4671","3005","97.3377703826955"
"G14","Sample","0.656814449917898","3451","1919","95.205836373111"
"G15","Sample","0.938824954572986","5101","3404","97.0035252643948"
"G16","Sample","0.873634945397816","4996","3275","97.8625954198473"
"G17","Sample","2.80050346129641","4983","3258","97.5445058317986"
"G18","Sample","4.87948265726043","5295","3493","97.3947895791583"
"G19","Sample","5.97322348094748","4692","2978","97.8173270651444"
"G20","Sample","5.87121212121212","4308","2736","96.4912280701754"
"G21","Sample","6.54545454545455","4277","2832","97.1045197740113"
"G22","Sample","6.42693190512624","4188","2704","96.6715976331361"
"G23","Sample","7.15067493615469","4247","2805","97.7183600713012"
"H02","Sample","0","3328","1781","95.3396967995508"
"H03","Sample","0","4235","2430","96.5843621399177"
"H04","Sample","0.0440334654337296","4186","2346","96.8030690537084"
"H05","Sample","0.253164556962025","4248","2460","96.3414634146341"
"H06","Sample","0.650406504065041","4279","2545","96.6601178781925"
"H07","Sample","0.914876690533015","4363","2589","97.1031286210892"
