"Experiment: LG104_Quake","Analysis: Analysis 1","User: lab user","Plate: Plate 0001","Plate Type: 384 Well","Plate Order: Row","Export Date: 12/19/2018","Export Time: 9:23:29 AM"
"Well ID","Well Type","%GFP+","Count of All Events","Count of cells","singlet as % of cells"
"B02","Sample","1.48634635326651","4827","3042","95.1019066403682"
"B03","Sample","3.00446609825416","3635","2582","95.3911696359411"
"B04","Sample","4.80139676996945","3194","2396","95.6176961602671"
"B05","Sample","9.04203323558162","2862","2130","96.056338028169"
"B06","Sample","10.0250626566416","3379","2501","95.7217113154738"
"B07","Sample","12.3706896551724","3162","2454","94.5395273023635"
"B08","Sample","12.8537170263789","2840","2195","94.9886104783599"
"B09","Sample","12.2667910447761","2835","2262","94.7833775419982"
"B10","Sample","11.9295074559422","2941","2344","94.4112627986348"
"B11","Sample","13.468809073724","2865","2249","94.086260560249"
"B14","Sample","6.07872446437469","2977","2119","94.7144879660217"
"B15","Sample","10.6239460370995","2445","1872","95.0320512820513"
"B16","Sample","13.2004310344828","2507","1969","94.2610462163535"
"B17","Sample","13.4728033472803","3135","2495","95.7915831663327"
"B18","Sample","13.9667458432304","2811","2208","95.3351449275362"
"B19","Sample","12.5766871165644","3055","2410","94.6887966804979"
"B20","Sample","13.6198860693941","2582","2036","94.8428290766208"
"B21","Sample","12.7777777777778","2365","1907","94.3890928159413"
"B22","Sample","13.7365453613532","2561","2040","95.6372549019608"
"B23","Sample","14.6594005449591","2488","1924","95.3742203742204"
"C02","Sample","1.75152749490835","3387","2554","96.123727486296"
"C03","Sample","2.1982579842389","3288","2526","95.4473475851148"
"C04","Sample","4.99348675640469","3144","2410","95.5601659751037"
"C05","Sample","6.57777777777778","3009","2351","95.7039557635049"
"C06","Sample","9.03981264637002","2762","2229","95.7828622700763"
"C07","Sample","11.0961365678347","2816","2337","95.2503209242619"
"C08","Sample","10.8244815376834","2569","2082","94.9567723342939"
"C09","Sample","11.284046692607","2707","2163","95.0531668978271"
"C10","Sample","12.1721919841663","2698","2119","95.375176970269"
"C11","Sample","11.6895874263261","2707","2137","95.2737482452035"
"C14","Sample","7.29040097205346","2391","1752","93.9497716894977"
"C15","Sample","9.96801705756929","2563","1985","94.5088161209068"
"C16","Sample","11.9783197831978","2507","1927","95.7446808510638"
"C17","Sample","11.7899249732047","2455","1948","95.7905544147844"
"C18","Sample","15.1108518086348","2305","1807","94.8533480907582"
"C19","Sample","14.2175066312997","2526","1991","94.6760421898543"
"C20","Sample","13.0227633668608","2434","2002","94.3556443556443"
"C21","Sample","12.3024830699774","2377","1860","95.2688172043011"
"C22","Sample","13.8297872340426","2531","1958","96.0163432073544"
"C23","Sample","14.3906020558003","2582","2133","95.7805907172996"
"D02","Sample","0.0946521533364884","3069","2208","95.6974637681159"
"D03","Sample","0.0876040297853701","3035","2393","95.4032595068951"
"D04","Sample","1.24105011933174","2804","2181","96.0568546538285"
"D05","Sample","6.25310173697271","2756","2117","95.1818611242324"
"D06","Sample","8.4426946631671","3075","2378","96.1312026913373"
"D07","Sample","12.3711340206186","3079","2440","95.4098360655738"
"D08","Sample","12.1328224776501","3098","2471","95.0627276406313"
"D09","Sample","11.3513513513514","2491","1949","94.920472036942"
"D10","Sample","11.3102595797281","2314","1716","94.2890442890443"
"D11","Sample","10.9823677581864","2605","2081","95.3868332532436"
"D14","Sample","1.75195942830798","2929","2290","94.7161572052402"
"D15","Sample","4.76626947754354","2913","2291","95.2422522915757"
"D16","Sample","8.92857142857143","2587","2049","95.6564177647633"
"D17","Sample","14.1377524598654","2605","2038","94.7497546614328"
"D18","Sample","13.8461538461538","2611","2116","95.226843100189"
"D19","Sample","14.7142048670062","2335","1860","95"
"D20","Sample","11.1225540679712","2514","2035","95.4299754299754"
"D21","Sample","12.5562781390695","2585","2096","95.3721374045801"
"D22","Sample","12.4805800103573","2561","2030","95.1231527093596"
"D23","Sample","13.6563876651982","2674","2157","94.7148817802503"
"E02","Sample","0.190023752969121","3043","2220","94.8198198198198"
"E03","Sample","0.087070091423596","3021","2398","95.7881567973311"
"E04","Sample","0.836820083682008","2897","2240","96.0267857142857"
"E05","Sample","5.79990333494442","2705","2174","95.1701931922723"
"E06","Sample","10.0959111559818","2722","2073","95.5619874577906"
"E07","Sample","12.4693176239568","2694","2139","95.2314165497896"
"E08","Sample","10.7828655834564","2687","2125","95.5764705882353"
"E09","Sample","10.9552077711819","2479","1949","95.0743971267317"
"E10","Sample","10","2178","1669","93.4691431995207"
"E11","Sample","9.93059263214095","2377","1963","95.4151808456444"
"E14","Sample","1.45985401459854","2341","1875","94.9866666666667"
"E15","Sample","5.14228657014478","2614","2094","95.6542502387775"
"E16","Sample","8.73224618621778","2425","2001","95.0024987506247"
"E17","Sample","11.9827586206897","3027","2442","95.004095004095"
"E18","Sample","13.6297020029311","2672","2138","95.7436856875585"
"E19","Sample","13.35","2674","2089","95.7395883197702"
"E20","Sample","12.8473804100228","2848","2311","94.9805279099957"
"E21","Sample","13.2973944294699","2904","2342","95.0469684030743"
"E22","Sample","12.1621621621622","2990","2400","95.5833333333333"
"E23","Sample","14.0032068412614","2560","1954","95.7523029682702"
"F02","Sample","2.84846183061147","3544","2759","95.4331279449076"
"F03","Sample","4.2110134197131","2890","2259","95.6617972554227"
"F04","Sample","5.73549257759784","2084","1558","95.1219512195122"
"F05","Sample","6.85138539042821","2713","2063","96.2190984003878"
"F06","Sample","9.88913525498891","2963","2339","96.4087216759299"
"F07","Sample","10.6708689779379","2867","2313","96.0224816255945"
"F08","Sample","11.2329969284774","3032","2383","95.6357532522031"
"F09","Sample","12.628290941544","2893","2365","94.7568710359408"
"F10","Sample","10.5237395986295","2668","2153","94.8908499767766"
