"Experiment: LG128_DENV2_doublemut","Analysis: Analysis 1","User: lab user","Plate: Plate 0005","Plate Type: 384 Well","Plate Order: Row","Export Date: 3/13/2019","Export Time: 1:00:47 PM"
"Well ID","Well Type","%GFP+","Count of All Events","Count of cells","singlet as % of cells"
"B02","Sample","0.108548168249661","5911","3760","98.0053191489362"
"B03","Sample","0.711997152011392","4619","2881","97.500867754252"
"B04","Sample","2.96270477518299","4697","2930","97.9180887372014"
"B05","Sample","4.46909667194929","5065","3226","97.7991320520769"
"B06","Sample","6.51567944250871","4746","2940","97.6190476190476"
"B07","Sample","5.6304520222046","4429","2617","96.3698891860909"
"B08","Sample","7.14972747675537","5187","3199","97.499218505783"
"B09","Sample","6.71671276175425","4440","2651","95.473406261788"
"B10","Sample","7.64482431149098","4010","2199","95.7708049113233"
"B11","Sample","8.20008200082001","4242","2535","96.2130177514793"
"B14","Sample","0.0312207305650952","5329","3340","95.8982035928144"
"B15","Sample","0.0367107195301028","4640","2796","97.4248927038627"
"B16","Sample","0.0365230094959825","4704","2830","96.7491166077738"
"B17","Sample","0.40133779264214","4767","3108","96.2033462033462"
"B18","Sample","3.24199150906986","4419","2687","96.427242277633"
"B19","Sample","5.88829071332436","5006","3051","97.4106850213045"
"B20","Sample","6.94135115070527","4518","2792","96.4899713467049"
"B21","Sample","7.67543859649123","5208","3300","96.7272727272727"
"B22","Sample","6.77191524719568","4099","2477","97.1740008074283"
"B23","Sample","8.73715124816446","4447","2835","96.0846560846561"
"C02","Sample","0.0367511944138185","4421","2794","97.3872584108804"
"C03","Sample","1.02291325695581","4078","2526","96.7537608867775"
"C04","Sample","3.11264822134387","3826","2118","95.561850802644"
"C05","Sample","6.79501698754247","4369","2730","97.032967032967"
"C06","Sample","6.97159719660642","4548","2798","96.8906361686919"
"C07","Sample","7.19447062519636","5020","3250","97.9384615384615"
"C08","Sample","7.32177263969171","4397","2692","96.3967310549777"
"C09","Sample","6.77626303127506","4600","2586","96.4423820572312"
"C10","Sample","7.69661349006437","5496","3666","97.4631751227496"
"C11","Sample","8.16170861937452","4788","2749","95.3801382320844"
"C14","Sample","0.085397096498719","5435","3598","97.6375764313508"
"C15","Sample","0","4438","2630","96.5779467680608"
"C16","Sample","0","4602","2907","96.9040247678019"
"C17","Sample","0.889679715302491","4897","2989","94.01137504182"
"C18","Sample","2.64572137246796","4185","2513","96.2594508555511"
"C19","Sample","5.32329988851728","5586","3661","98.00600928708"
"C20","Sample","6.3752276867031","5165","3404","96.7685076380728"
"C21","Sample","8.31047723532638","5725","3732","97.6956055734191"
"C22","Sample","9.13333333333333","4985","3078","97.4658869395711"
"C23","Sample","8.41455490578298","4817","3172","97.0365699873897"
"D02","Sample","0.0331895121141719","4876","3088","97.5712435233161"
"D03","Sample","0","3896","2128","95.4887218045113"
"D04","Sample","0","4121","2469","96.5573106520859"
"D05","Sample","0.118577075098814","4524","2612","96.8606431852986"
"D06","Sample","0.934579439252336","4225","2659","96.5776607747273"
"D07","Sample","2.9136690647482","4731","2884","96.3938973647711"
"D08","Sample","2.7966440271674","4564","2589","96.6782541521823"
"D09","Sample","3.66256379465626","5197","3430","97.1137026239067"
"D10","Sample","3.6036036036036","3891","2194","96.1257976298997"
"D11","Sample","4.44191343963554","5780","3619","97.0433821497651"
"D14","Sample","0.123915737298637","5312","3296","97.9368932038835"
"D15","Sample","1.10732538330494","4258","2434","96.4667214461791"
"D16","Sample","3.89329488103821","4534","2861","96.9591052079692"
"D17","Sample","6.96254071661238","4276","2544","96.5408805031446"
"D18","Sample","7.21048798252003","4631","2842","96.622097114708"
"D19","Sample","6.3013698630137","4692","2643","96.6704502459326"
"D20","Sample","6.73261008296107","5005","3228","97.087980173482"
"D21","Sample","6.72828096118299","4580","2788","97.0229555236729"
"D22","Sample","7.38054607508532","4068","2444","95.9083469721768"
"D23","Sample","7.63582966226138","4491","2823","96.4930924548353"
"E02","Sample","0.0688468158347677","4698","2983","97.3851827019779"
"E03","Sample","0","3704","2142","97.3389355742297"
"E04","Sample","0.0467726847521048","3943","2211","96.6983265490728"
"E05","Sample","0.152963671128107","4492","2672","97.8667664670659"
"E06","Sample","0.777511961722488","5158","3441","97.1810520197617"
"E07","Sample","2.45492903720752","4583","2682","97.2035794183445"
"E08","Sample","3.42967244701349","4485","2679","96.8645016797312"
"E09","Sample","3.5609551738584","4230","2493","95.7480946650622"
"E10","Sample","3.90455531453362","4462","2861","96.6794826983572"
