"Experiment: LG104_Quake","Analysis: Analysis 1","User: lab user","Plate: Plate 0004","Plate Type: 384 Well","Plate Order: Row","Export Date: 12/19/2018","Export Time: 10:55:09 AM"
"Well ID","Well Type","%GFP+","Count of All Events","Count of cells","singlet as % of cells"
"B02","Sample","22.2079589216945","3219","2395","97.5782881002088"
"B03","Sample","19.1370355573312","3316","2571","97.3551147413458"
"B04","Sample","18.9521080638559","3130","2544","96.0298742138365"
"B05","Sample","20.9320695102686","3178","2583","98.0255516840883"
"B06","Sample","20.7382828701783","3104","2477","97.3354864755753"
"B07","Sample","20.8776595744681","2817","2317","97.3672852826931"
"B08","Sample","18.2546749777382","2925","2311","97.1873647771528"
"B09","Sample","20.3227433182047","2546","2056","96.4494163424124"
"B10","Sample","22.5236333744349","3083","2507","97.0482648583965"
"B11","Sample","21.5530114484818","2633","2083","96.4474315890542"
"C02","Sample","24.159766195811","2810","2108","97.3908918406072"
"C03","Sample","20.8569953536397","2575","1999","96.8984492246123"
"C04","Sample","22.9988726042841","2464","1842","96.3083604777416"
"C05","Sample","20.7518022657055","2418","2008","96.7131474103586"
"C06","Sample","23.0919765166341","2612","2126","96.142991533396"
"C07","Sample","20.7547169811321","2795","2356","96.7317487266554"
"C08","Sample","22.5821596244131","2730","2206","96.5548504079782"
"C09","Sample","22.7561196736174","2859","2292","96.2478184991274"
"C10","Sample","22.4009415457042","3158","2614","97.513389441469"
"C11","Sample","22.1601489757914","2692","2217","96.8876860622463"
"D02","Sample","12.6315789473684","3623","3032","97.1306068601583"
"D03","Sample","12.5","2915","2257","97.1200708905627"
"D04","Sample","12.3287671232877","2831","2277","96.1791831357049"
"D05","Sample","14.0454545454545","2866","2280","96.4912280701754"
"D06","Sample","14.6372507424692","2948","2426","97.1558120362737"
"D07","Sample","14.5332808192202","3142","2614","97.1308339709258"
"D08","Sample","15.011636927851","3230","2692","95.7652303120357"
"D09","Sample","14.0713916192447","2462","2008","96.2649402390438"
"D10","Sample","12.8654970760234","2722","2299","96.6942148760331"
"D11","Sample","13.1922557406574","2826","2301","96.5232507605389"
"E02","Sample","13.3755441234666","3190","2600","97.1923076923077"
"E03","Sample","12.8256513026052","2624","2077","96.1001444390948"
"E04","Sample","15.239633817986","2427","1920","96.71875"
"E05","Sample","16.001716001716","2864","2398","97.2060050041701"
"E06","Sample","13.6809499225607","2441","2004","96.6566866267465"
"E07","Sample","13.2123045890066","2552","2058","96.3556851311953"
"E08","Sample","15.7590361445783","2613","2142","96.8720821661998"
"E09","Sample","14.4167758846658","2844","2375","96.3789473684211"
"E10","Sample","16.0865475070555","2747","2189","97.121973503883"
"E11","Sample","14.0882509303562","2458","1954","96.2640736949846"
"F02","Sample","5.67460317460317","3310","2596","97.0724191063174"
"F03","Sample","4.86862442040186","3309","2682","96.4951528709918"
"F04","Sample","3.95833333333333","3112","2478","96.8523002421307"
"F05","Sample","5.34531693472091","2729","2204","95.9165154264973"
"F06","Sample","5.08859609268514","2826","2265","97.1743929359823"
"F07","Sample","5.55555555555556","3190","2617","96.9812762705388"
"F08","Sample","4.86083888671109","3126","2627","97.1069661210506"
"F09","Sample","4.34782608695652","2621","2079","96.2481962481963"
"F10","Sample","4.7148288973384","3256","2715","96.8692449355433"
"F11","Sample","4.9131723845828","2897","2430","97.1604938271605"
