"Experiment: LG100_Quake_Fab","Analysis: Analysis 1","User: lab user","Plate: Plate 0002","Plate Type: 384 Well","Plate Order: Row","Export Date: 12/12/2018","Export Time: 11:20:43 AM"
"Well ID","Well Type","%GFP+","Count of All Events","Count of cells","singlet as % of cells"
"B02","Sample","7.41459048187379","8453","6920","96.864161849711"
"B03","Sample","7.59670925958341","7145","5882","97.1268276096566"
"B04","Sample","7.36842105263158","6739","5604","96.627408993576"
"B05","Sample","8.08021806853583","6204","5334","96.2879640044994"
"B06","Sample","8.45301600328272","6073","5047","96.5722211214583"
"B07","Sample","9.19991730411412","5874","5024","96.2778662420382"
"B08","Sample","8.59790968250838","6075","5255","96.4985727878211"
"B09","Sample","8.7431693989071","6501","5678","96.6889749911941"
"B10","Sample","11.7636022514071","6305","5497","96.9619792614153"
"B11","Sample","10.010060362173","7082","6127","97.339644197813"
"B14","Sample","7.67754318618042","6330","5439","95.7896672182386"
"B15","Sample","8.49778493757551","5906","5143","96.5584289325297"
"B16","Sample","10.5114867793671","5636","4768","96.7701342281879"
"B17","Sample","10.0502512562814","5716","4923","97.0140158439976"
"B18","Sample","10.0246002460025","5842","5046","96.6706302021403"
"B19","Sample","9.69732022363601","6096","5328","97.3536036036036"
"B20","Sample","10.9032387849527","6178","5132","96.8628215120811"
"B21","Sample","11.4522058823529","6438","5636","96.5223562810504"
"B22","Sample","11.6002267145286","6303","5462","96.9058952764555"
"B23","Sample","10.3486354314561","7378","6575","96.4106463878327"
"C02","Sample","7.77436268305912","6706","5752","96.1578581363004"
"C03","Sample","7.81337830241709","6345","5519","96.7023011415111"
"C04","Sample","8.54380426203631","6091","5227","96.9581021618519"
"C05","Sample","9.30835160454455","6008","5177","96.9094069924667"
"C06","Sample","8.38796760509063","6626","5318","97.5178638585934"
"C07","Sample","10.1268371250252","5930","5172","96.0363495746326"
"C08","Sample","8.93691588785047","6131","5302","96.8691059977367"
"C09","Sample","9.95260663507109","6047","5291","95.7096957096957"
"C10","Sample","9.06953966699314","6286","5288","96.5393343419062"
"C11","Sample","9.51721751168022","6931","5992","96.4452603471295"
"C14","Sample","6.97218958088523","6301","5274","96.8145620022753"
"C15","Sample","8.18789054083172","5676","4836","95.9677419354839"
"C16","Sample","8.79320800485142","6000","5090","97.1905697445972"
"C17","Sample","7.83002588438309","5604","4795","96.6840458811262"
"C18","Sample","8.81040892193309","6429","5551","96.9194739686543"
"C19","Sample","9.91026919242273","6044","5182","96.7773060594365"
"C20","Sample","9.10386965376782","5833","5077","96.710655899153"
"C21","Sample","11.3631918638764","6097","5325","96.018779342723"
"C22","Sample","10.4568727845609","6067","5252","96.6869763899467"
"C23","Sample","10.6360572872789","5779","4952","95.8804523424879"
"D02","Sample","6.68202764976959","6521","5387","96.6771858177093"
"D03","Sample","6.93568726355612","6937","5776","96.1045706371191"
"D04","Sample","7.96952224052718","5881","4999","97.1394278855771"
"D05","Sample","7.89312665714868","5885","5068","96.7442778216259"
"D06","Sample","8.67229470452801","6126","5368","97.0938897168405"
"D07","Sample","9.37106918238994","5818","4987","95.6486865851213"
"D08","Sample","9.37878176684147","6096","5156","96.1598138091544"
"D09","Sample","9.05775075987842","5879","5117","96.4432284541724"
"D10","Sample","9.149377593361","5719","4981","96.7677173258382"
"D11","Sample","9.91533396048918","6226","5527","96.1642844219287"
"D14","Sample","8.56531049250535","5484","4359","96.4211975223675"
"D15","Sample","8.08935155063977","5538","4763","96.808733991182"
"D16","Sample","8.70497427101201","5523","4806","97.0453599667083"
"D17","Sample","9.87115544472153","5767","4959","97.0356926799758"
"D18","Sample","9.29044465468307","6331","5463","96.7417170053084"
"D19","Sample","9.22049801515698","6578","5709","97.0747941846208"
"D20","Sample","9.78368723953165","6031","5193","97.0344694781436"
"D21","Sample","10.1304525071341","5845","5101","96.1772201529112"
"D22","Sample","10.6550022431584","5400","4605","96.8078175895765"
"D23","Sample","10.7343538074017","6140","5332","96.7929482370593"
"E02","Sample","8.02986161689731","6553","5689","96.5371770082616"
"E03","Sample","8.35348837209302","6514","5573","96.4471559303786"
"E04","Sample","8.33877639886784","6340","4751","96.6743843401389"
"E05","Sample","9.29944203347799","5811","4998","96.8187274909964"
"E06","Sample","8.0034797738147","5423","4734","97.1271651880017"
"E07","Sample","8.04786485218207","5154","4401","96.8416269029766"
"E08","Sample","9.02238971403236","5478","4654","96.927374301676"
"E09","Sample","9.92808629644427","5868","5174","96.7529957479706"
"E10","Sample","10.0434208042288","6259","5471","96.8195942240907"
"E11","Sample","9.66892400300978","6255","5496","96.7248908296943"
"E14","Sample","8.30140485312899","5643","4876","96.3494667760459"
"E15","Sample","8.70303544894927","5557","4870","96.735112936345"
"E16","Sample","8.90628823097627","4905","4262","95.8939465039887"
"E17","Sample","9.01771336553945","5880","5133","96.7855055523086"
"E18","Sample","9.24020934849305","6497","5725","96.7860262008734"
"E19","Sample","9.41666666666667","5979","4953","96.9109630526953"
"E20","Sample","10.7091172214182","5007","4293","96.575821104123"
"E21","Sample","9.76554536187564","5742","5027","97.5731052317486"
"E22","Sample","10.647619047619","6319","5434","96.6139124033861"
"E23","Sample","11.185520361991","6799","5770","95.7538994800693"
"F02","Sample","7.10568454763811","5982","5147","97.0662521857393"
"F03","Sample","7.38589211618257","5982","4988","96.6319165998396"
"F04","Sample","6.77255680564747","5428","4734","95.7541191381495"
"F05","Sample","6.28366247755835","5443","4632","96.2003454231433"
"F06","Sample","6.95452808559419","6092","5396","96.997776130467"
"F07","Sample","7.20216257964858","6169","5402","95.8718992965568"
"F08","Sample","8.19609345078514","6204","5379","97.0812418665179"
"F09","Sample","8.59960552268245","6031","5263","96.3328899866996"
"F10","Sample","9.52778938570832","5671","4968","96.3365539452496"
"F11","Sample","10.4452996151732","6439","5674","96.1755375396546"
"F14","Sample","4.18961447678993","6054","5305","95.8341187558907"
