"Experiment: LG117_DENV2_mut","Analysis: Analysis 1","User: lab user","Plate: Plate 0004","Plate Type: 384 Well","Plate Order: Row","Export Date: 2/15/2019","Export Time: 3:36:33 PM"
"Well ID","Well Type","%GFP+","Count of All Events","Count of cells","singlet as % of cells"
"B02","Sample","8.57484314311324","3946","3413","98.0662174040434"
"B03","Sample","10.0664533595865","4628","4120","98.6165048543689"
"B04","Sample","9.8700154218991","5237","4624","98.1617647058823"
"B05","Sample","12.8753302906558","4756","4245","98.0683156654888"
"B06","Sample","15.7653307580879","4780","4207","98.4549560256715"
"B07","Sample","16.9889840881273","4760","4148","98.4811957569913"
"B08","Sample","17.5150091359958","4610","3902","98.1804202972834"
"B09","Sample","18.2157986543733","4820","4092","98.069403714565"
"B10","Sample","18.3150183150183","4759","4164","98.342939481268"
"B11","Sample","16.8076580587712","5227","4552","98.6818980667838"
"B14","Sample","1.14300903774588","4476","3823","98.4043944546168"
"B15","Sample","1.17726964002717","5163","4493","98.3084798575562"
"B16","Sample","2.67639902676399","5659","4996","98.7189751801441"
"B17","Sample","7.11596385542169","6162","5380","98.7360594795539"
"B18","Sample","8.21234119782214","5124","4479","98.4148247376647"
"B19","Sample","9.80916030534351","5970","5297","98.9239191995469"
"B20","Sample","9.44829126647308","5380","4554","98.3091787439614"
"B21","Sample","8.68292682926829","5830","5178","98.9764387794515"
"B22","Sample","8.2315241337873","5734","5065","98.57847976308"
"B23","Sample","9.27795031055901","5759","5203","99.0197962713819"
"C02","Sample","8.88501742160279","3477","2928","98.0191256830601"
"C03","Sample","9.56892468024633","4784","4273","98.8064591621811"
"C04","Sample","10.0952380952381","4844","4256","98.6842105263158"
"C05","Sample","12.5973431058177","5119","4442","98.2890589824403"
"C06","Sample","13.5985198889917","5073","4390","98.496583143508"
"C07","Sample","16.9014084507042","4799","4179","98.5403206508734"
"C08","Sample","16.8321747765641","4696","4100","98.2439024390244"
"C09","Sample","17.8234790059983","5395","4729","98.7100866990907"
