"Experiment: LG117_DENV2_mut","Analysis: Analysis 1","User: lab user","Plate: Plate 0002","Plate Type: 384 Well","Plate Order: Row","Export Date: 2/15/2019","Export Time: 2:45:56 PM"
"Well ID","Well Type","%GFP+","Count of All Events","Count of cells","singlet as % of cells"
"B02","Sample","0.0164962058726493","6772","6135","98.8101059494703"
"B03","Sample","0.0541320822807651","6173","5613","98.7350792802423"
"B04","Sample","0.16706886950065","6027","5445","98.9348025711662"
"B05","Sample","3.77071034088745","5823","5310","98.8888888888889"
"B06","Sample","10.7821114968348","5546","4960","98.7298387096774"
"B07","Sample","13.9863995589046","6182","5500","98.9272727272727"
"B08","Sample","15.5388471177945","5916","5229","99.1967871485944"
"B09","Sample","17.0154301416191","5484","4812","98.3167082294264"
"B10","Sample","16.2471395881007","5608","4868","98.746918652424"
"B11","Sample","16.1290322580645","5291","4650","98.6666666666667"
"B14","Sample","0.0696985537550096","6380","5774","99.3938344302044"
"B15","Sample","0.145586897179254","6180","5584","98.4061604584527"
"B16","Sample","0.574180403778478","6075","5465","98.7923147301006"
"B17","Sample","3.11854217546496","6014","5371","99.1063116738037"
"B18","Sample","5.3288615613937","5973","5424","98.9491150442478"
"B19","Sample","6.57966286025014","6255","5569","99.066259651643"
"B20","Sample","7.65166697030425","6200","5546","98.9722322394519"
"B21","Sample","8.17978302049251","6698","5870","98.9267461669506"
"B22","Sample","5.97938144329897","6575","5861","99.3004606722402"
"B23","Sample","7.05779334500876","6449","5772","98.9258489258489"
"C02","Sample","0.0333166749958354","6716","6054","99.1575817641229"
"C03","Sample","0.0543379822495925","6236","5575","99.0313901345291"
"C04","Sample","0.277572168763879","6092","5473","98.7392654851087"
"C05","Sample","4.31575064551826","6098","5491","98.7433982881078"
"C06","Sample","11.576354679803","5611","4933","98.7634299614839"
"C07","Sample","13.6991788503905","5669","5050","98.8712871287129"
"C08","Sample","16.0748458430789","5342","4768","98.6367449664429"
"C09","Sample","16.9181440965673","6121","5367","98.7888950996832"
"C10","Sample","16.5502645502646","5413","4786","98.7254492269118"
"C11","Sample","18.8166828322017","5923","5222","98.7169666794332"
"C14","Sample","0.110578695171397","6022","5484","98.9423778264041"
"C15","Sample","0.16253555465258","5561","4986","98.7164059366225"
"C16","Sample","0.354060632883381","5210","4607","98.0898632515737"
"C17","Sample","3.68421052631579","5574","5018","98.4455958549223"
"C18","Sample","8.508930363235","5626","5044","98.7906423473434"
"C19","Sample","10.7668770319373","5950","5286","98.9216799091941"
"C20","Sample","11.7062719127386","5800","5189","98.9400655232222"
"C21","Sample","12.4031007751938","5940","5223","98.7937966685813"
"C22","Sample","10.8438335242459","5950","5307","98.6998304126625"
"C23","Sample","9.99414405621706","5797","5175","98.9951690821256"
